Squad,Pts,Season
Real Sociedad,46,2014/2015
Elche,41,2014/2015
Levante,37,2014/2015
Getafe,37,2014/2015
La Coruña,35,2014/2015
Granada,35,2014/2015
Eibar,35,2014/2015
Almería,29,2014/2015
Córdoba,20,2014/2015
Barcelona,91,2015/2016
Real Madrid,90,2015/2016
Atlético Madrid,88,2015/2016
Villarreal,64,2015/2016
Athletic Club,62,2015/2016
Celta Vigo,60,2015/2016
Sevilla,52,2015/2016
Málaga,48,2015/2016
Real Sociedad,48,2015/2016
Betis,45,2015/2016
Las Palmas,44,2015/2016
Valencia,44,2015/2016
Espanyol,43,2015/2016
Eibar,43,2015/2016
La Coruña,42,2015/2016
Granada,39,2015/2016
Sporting Gijón,39,2015/2016
Rayo Vallecano,38,2015/2016
Getafe,36,2015/2016
Levante,32,2015/2016
Real Madrid,93,2016/2017
Barcelona,90,2016/2017
Atlético Madrid,78,2016/2017
Sevilla,72,2016/2017
Villarreal,67,2016/2017
Real Sociedad,64,2016/2017
Athletic Club,63,2016/2017
Espanyol,56,2016/2017
Alavés,55,2016/2017
Eibar,54,2016/2017
Málaga,46,2016/2017
Valencia,46,2016/2017
Celta Vigo,45,2016/2017
